"Date and Time","temp1","temp2"
"09/17/2023 05:33:36 pm","23.9",""
"09/17/2023 05:33:26 pm","","37.5"
"09/17/2023 05:33:26 pm","23.9",""
"09/17/2023 05:33:16 pm","","37.5"
"09/17/2023 05:33:16 pm","23.9",""
"09/17/2023 05:33:06 pm","23.8","37.7"
"09/17/2023 05:32:56 pm","24","37.7"
"09/17/2023 05:32:46 pm","","37.8"
"09/17/2023 05:32:46 pm","24.1",""
"09/17/2023 05:32:35 pm","","37.8"
"09/17/2023 05:32:35 pm","24.1",""
"09/17/2023 05:32:26 pm","24.1","37.8"
"09/17/2023 05:32:15 pm","","37.7"
"09/17/2023 05:32:15 pm","24.1",""
"09/17/2023 05:32:05 pm","","37.6"
"09/17/2023 05:32:05 pm","23.9",""
"09/17/2023 05:31:55 pm","","37.6"
"09/17/2023 05:31:55 pm","23.9",""
"09/17/2023 05:31:45 pm","","37.5"
"09/17/2023 05:31:45 pm","23.9",""
"09/17/2023 05:31:35 pm","","37.5"
"09/17/2023 05:31:35 pm","23.8",""
"09/17/2023 05:31:25 pm","23.8","37.5"
"09/17/2023 05:31:15 pm","24","37.5"
"09/17/2023 05:31:05 pm","","37.5"
"09/17/2023 05:31:05 pm","24",""
"09/17/2023 05:30:55 pm","24","37.7"
"09/17/2023 05:30:45 pm","","37.8"
"09/17/2023 05:30:45 pm","24.2",""
"09/17/2023 05:30:35 pm","24.2","37.9"
"09/17/2023 05:30:25 pm","","37.9"
"09/17/2023 05:30:25 pm","24.2",""
"09/17/2023 05:30:15 pm","24.1","38"
"09/17/2023 05:30:05 pm","","38"
"09/17/2023 05:30:05 pm","24.1",""
"09/17/2023 05:29:55 pm","","37.9"
"09/17/2023 05:29:55 pm","24",""
"09/17/2023 05:29:44 pm","23.9","37.8"
"09/17/2023 05:29:34 pm","23.8","37.7"
"09/17/2023 05:29:24 pm","23.6","37.6"
"09/17/2023 05:29:14 pm","","37.7"
"09/17/2023 05:29:14 pm","23.7",""
"09/17/2023 05:29:04 pm","","37.6"
"09/17/2023 05:29:04 pm","23.7",""
"09/17/2023 05:28:54 pm","23.6","37.6"
"09/17/2023 05:28:44 pm","23.7","37.5"
"09/17/2023 05:28:34 pm","23.6","37.5"
"09/17/2023 05:28:24 pm","","37.4"
"09/17/2023 05:28:24 pm","23.6",""
"09/17/2023 05:28:14 pm","","37.5"
"09/17/2023 05:28:14 pm","23.7",""
"09/17/2023 05:28:04 pm","23.7","37.5"
"09/17/2023 05:27:54 pm","","37.4"
"09/17/2023 05:27:54 pm","23.8",""
"09/17/2023 05:27:44 pm","23.9","37.3"
"09/17/2023 05:27:34 pm","23.7","37.4"
"09/17/2023 05:27:24 pm","24","37.3"
"09/17/2023 05:27:13 pm","","37.3"
"09/17/2023 05:27:13 pm","24",""
